"","nbsp","sing.sp","FRic","qual.FRic","FEve","FDiv","FDis","RaoQ","CWM.FRESH_mass.g","CWM.DRY_mass.g","CWM.AREA_cm2","CWM.LDMC","CWM.SLA","CWM.HEIGHT_cm"
"2",4,4,0.299793665894119,0.766598157809159,0.828084886938897,0.849716707181593,1.72016495375099,3.0888262814862,0.00867837459131247,0.00162496496964035,0.390863148061653,0.194955330107403,266.931340495079,4.15440261560019
"3",5,5,0.305680898259656,0.766598157809159,0.71468979425033,0.811207098865194,1.75294356870754,3.18998622191323,0.00943018904320988,0.00167864583333333,0.404049189814815,0.183349995643576,261.951837384237,4.09359259259259
"5",5,5,0.305680898259656,0.766598157809159,0.720556495942319,0.805422763177733,1.8229116610485,3.45800761002347,0.00895009737098345,0.00176333982473223,0.366944498539435,0.202522816378724,231.366565238536,3.90802726387537
"6",3,3,0.252312896817212,0.766598157809159,0.962778487646349,0.832122061620985,1.80385122187205,3.2772432013357,0.0118270760233918,0.00190502923976608,0.47063432748538,0.162493410477895,262.63464424949,4.55880701754386
"8",3,3,0.0385151018907762,0.766598157809159,0.381699794450089,0.86190486511293,1.56347096943599,2.59436396216553,0.0125169458762887,0.00217506443298969,0.572068427835052,0.172906898661791,294.475778565266,5.63206701030928
"9",4,4,0.134984397958073,0.766598157809159,0.643098611692466,0.859930620484963,1.82583419819661,3.34353669475306,0.00978613984278031,0.00212101779064957,0.458989822093504,0.22091349733405,246.392407943707,4.98152254861398
"11",4,4,0.48394272920224,0.766598157809159,0.690407375412371,0.632764361766848,2.02031528826193,4.382183934949,0.0137466363340916,0.00301332466688333,0.597487097822554,0.21523607578596,250.106754202043,5.12471498212545
"12",5,5,0.725282799449312,0.766598157809159,0.75021692730325,0.548574777601449,1.81757755420068,4.24601823001442,0.0156213085448695,0.00416060064354666,0.627613657490168,0.273682864970719,176.704140874544,4.30584197354308
"14",6,6,0.894391697509307,0.766598157809159,0.723463054025832,0.732234758113361,1.93574671892477,4.16954772668726,0.0107164256932922,0.00233730741881963,0.444199217824129,0.206038036278194,236.042674874147,3.70138611045271
"15",5,5,0.305680898259656,0.766598157809159,0.643477208659633,0.733086067058574,1.39873296320254,2.51923947693178,0.0058953062248996,0.00112808734939759,0.232643147590361,0.194168429613881,235.70705112113,2.48249598393574
"17",4,4,0.208081016099381,0.766598157809159,0.893255497832925,0.825439720666067,1.60207160060028,2.74093013023911,0.00736108022239873,0.00197357691289383,0.362518215514959,0.260331850005375,220.697211190519,4.29533703997882
"18",5,5,0.240592700448765,0.766598157809159,0.592618545558887,0.88167645453007,1.42138371497411,2.20378775442784,0.00436408945686901,0.00123801916932907,0.218275974440895,0.239722520431949,228.654046858341,2.67875271565495
"20",4,4,0.636191568326558,0.766598157809159,0.871433005504458,0.823857753257348,2.2962368296222,5.45372101894981,0.0232286652078775,0.00512330415754923,0.893761597374179,0.204103440022319,213.14263259768,5.52323851203501
"21",5,5,0.589551031692933,0.766598157809159,0.740625741512078,0.606550827695695,1.95718727168814,4.1715402957659,0.0107664846902445,0.00244412532637076,0.47862637075718,0.227072465385212,251.955706680028,4.17448658912889
"23",4,4,0.48394272920224,0.766598157809159,0.771091195141991,0.779711420957068,2.29556062629316,5.44624030242254,0.0298758405003909,0.00715125097732604,1.15426270523847,0.225767481461181,213.831546618742,5.26104143862392
"24",5,5,0.88850446514377,0.766598157809159,0.865532302918697,0.661629470250052,2.22339138651803,5.28071772485539,0.0189659486978657,0.00459332289015077,0.760520403367926,0.239435937295692,205.23386696936,4.97456745643235
"26",6,6,1,0.766598157809159,0.810242119989062,0.801099087014243,2.34576150041541,5.86160189076274,0.0183830409356725,0.00408814460393408,0.735355821371611,0.20402916382908,255.649397513605,4.03174481658692
"27",5,5,0.9350938512749,0.766598157809159,0.873498822656365,0.769359049571086,2.30170128163824,5.63925521712035,0.0188409475465313,0.00399294980259447,0.743577213761985,0.205399243160547,243.088287835037,4.8552160180485
"29",4,4,0.48394272920224,0.766598157809159,0.813609558084165,0.701341536189443,2.36500465295299,5.79804758591646,0.0225039931740614,0.0057742662116041,0.866786416382253,0.251983238772321,190.435388001678,3.99590716723549
"30",5,5,0.88850446514377,0.766598157809159,0.83614148277614,0.527772261970702,1.89316171198172,4.08634764039952,0.0141521782507483,0.00330691719321583,0.580068473561689,0.239273664540871,194.883912312124,5.23826139008979
"32",6,6,0.994112767634463,0.766598157809159,0.887390334384509,0.819222492824639,2.38988434011603,5.91079223921998,0.0279226816164448,0.00682800747488905,1.03625580471852,0.234263200268956,184.570728426243,4.15772296192478
"33",5,5,0.88850446514377,0.766598157809159,0.735453738398427,0.739094870796494,1.99330996561078,4.28508830816163,0.0113452626852268,0.00239699146834306,0.447969016614279,0.206171458494252,224.768531930395,3.90801436910642
"35",6,6,0.994112767634463,0.766598157809159,0.893340709796489,0.663273740277595,2.22588202301826,5.33025323704975,0.0157316770186335,0.00372502875546354,0.632490062111801,0.237531077312744,218.374960589794,4.28789417989418
"36",6,6,0.994112767634463,0.766598157809159,0.712783077742685,0.790108282889499,2.21972252229759,5.31718624415814,0.0151071701964787,0.00337290125031896,0.636819112018372,0.229799349485047,264.092741881528,4.2008134728247
"38",4,4,0.357921199307905,0.766598157809159,0.812685293273695,0.740495941195529,1.78250560885932,3.35239541930062,0.00875466549295775,0.00143931924882629,0.359633421361502,0.189936874001115,271.709712441298,3.35161384976526
"39",2,2,NA,0.766598157809159,NA,NA,0.971912302597966,1.6135175761218,0.00390108577633008,0.000687622149837134,0.180811726384365,0.193281199904017,270.400615273248,2.15741585233442
"41",3,3,0.105608302490693,0.766598157809159,0.818049056707839,0.938564657679107,1.67660983425904,2.82673407807278,0.00934117946110829,0.00164260294865277,0.434907524148449,0.189437497690036,291.935989662754,4.40038637519064
"42",4,4,0.88850446514377,0.766598157809159,0.747514479619336,0.904269319399999,2.48432798462337,6.40979947553417,0.019738912456614,0.00468866178172002,0.690657693790976,0.203271593753606,203.847716389414,2.19803008098727
"44",4,4,0.48394272920224,0.766598157809159,0.976584540628223,0.761601527486495,2.42751583913708,5.99556239161826,0.024472972972973,0.00584864864864865,0.956832432432432,0.224875577397297,220.685311140014,4.80983783783784
"45",4,4,0.48394272920224,0.766598157809159,0.811670747683574,0.804842835176944,2.46157341914365,6.1722700399014,0.0259212113659023,0.0064351445663011,0.986491774675972,0.235969197511266,202.12031589649,4.07233898305085
"47",3,3,0.252312896817212,0.766598157809159,0.969469253933481,0.752020250197371,1.70933928676601,2.96084456262649,0.00997217620481928,0.00168539156626506,0.433275188253012,0.176195287050226,278.19417984436,4.38403614457831
"48",6,6,0.994112767634463,0.766598157809159,0.831368007352449,0.571293228650862,2.06133146431332,4.8595605103645,0.0168304709141274,0.00420806401969837,0.67870458602647,0.253729871252262,194.261361206787,4.71598276392736
"50",5,5,0.405401968384812,0.766598157809159,0.831975442529379,0.799269826780933,1.8894065025244,3.63907630212311,0.00962943361188487,0.00192404828226555,0.408194187558032,0.210041047438533,237.586230269244,4.29846090993501
"51",5,5,0.405401968384812,0.766598157809159,0.454465344011809,0.743493920424352,1.07738278059286,1.90570996180821,0.00419030690537084,0.00073539641943734,0.165799565217391,0.197012925177954,253.646864876377,1.87524092071611
"53",3,3,0.48394272920224,0.766598157809159,0.938429160103491,0.712799193373199,2.28803666455669,5.64740582957203,0.0235194123473093,0.00526328821393199,0.936357873885771,0.199627272202509,251.336375653289,5.24278771871905
"54",5,5,0.556990203238716,0.766598157809159,0.644019823267983,0.684527163122362,2.02221883871547,4.46358666902361,0.0149762305427009,0.0032103491796382,0.645147496844762,0.206008722251746,255.383055236199,5.26929911653345
"56",6,6,0.662598505729409,0.766598157809159,0.637923212473917,0.674491464728284,1.8543754491854,3.99667739610883,0.00908641030427478,0.00215206272167258,0.407913123016614,0.233983824756916,254.655762847026,3.2013701698712
"57",3,3,0.102472713608689,0.766598157809159,0.82353904481138,0.793943083105412,1.77111605788017,3.20605723543406,0.00839253030895581,0.00188181462651545,0.396178646851779,0.225936466674736,243.53401772909,4.47733281188893
"59",6,6,0.994112767634463,0.766598157809159,0.505451753308775,0.761245710960741,1.3127954924792,2.34627259614183,0.00448408846897144,0.000923341206785484,0.186201610478849,0.220161627636655,251.31997574616,1.86021988404552
